Titulo,Fecha del evento,Ubicación,Requisitos / Público de interés,Link original
Creación de perfil  para investigador en  ORCID,N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/creacion-de-perfil-para-investigador-en-orcid-25-19
"Revistas  académicas  en acceso  abierto:  cómo  identificarlas,  sus beneficios y buenas prácticas para  publicar.",N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/taller-revistas-academicas-en-acceso-abierto-como-identificarlas-sus-beneficios-y-buenas-practicas-para-publicar-25-018
"Ciencia  Abierta, una  introducción",N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/ciencia-abierta-una-introduccion-08-25
Resultados PAES Regular,N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/resultados-paes-regular
[Postulación] Cupo PACE,N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/postulacion-cupo-pace
Admisión Cupo Supernumerario BEA,N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/admision-cupo-supernumerario-bea
[Postulación] Cupo Mujeres en Ciencias,N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/postulacion-cupo-mujeres-en-ciencias-1
[Postulación] Cupo Hombres en Salud,N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/postulacion-hombres-en-salud
Feria de Orientación y Postulación UC,N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/feria-de-orientacion-y-postulacion-uc-1
Mesa de Ayuda - Postulación 2026,N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/mesa-de-ayuda-postulacion-2026
I Congreso Internacional de Formación Centrada en la Práctica,N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/i-congreso-internacional-de-formacion-centrada-en-la-practica
"Charla: La plata, los lujos y las ruinas en perspectiva",N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/charla-la-plata-los-lujos-y-las-ruinas-en-perspectiva
III Congreso Internacional de Educación y Pobreza,N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/iii-congreso-internacional-de-educacion-y-pobreza
Pensar la IA desde el Sur: Perspectivas críticas desde las ciencias sociales y humanidades,N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/pensar-la-ia-desde-el-sur
Summit UC 2026,N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/summit-uc-2026
Exposición: Calces vivos. Xilografías y serigrafías de Eduardo Vilches,N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/exposicion-calces-vivos-xilografias-y-serigrafias-de-eduardo-vilches
Cuarta sesión del Ciclo de Juristas de Derecho Privado,N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/cuarta-sesion-del-ciclo-de-juristas-de-derecho-privado
Mesa de Ayuda - Matrícula 2026,N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/mesa-de-ayuda-matricula-2026
"Revistas  académicas  en acceso  abierto:  cómo  identificarlas,  sus beneficios y buenas prácticas para  publicar.",N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/taller-revistas-academicas-en-acceso-abierto-como-identificarlas-sus-beneficios-y-buenas-practicas-para-publicar-25-019
Introducción  a la gestión de datos de  investigación,N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/taller-introduccion-a-la-gestion-de-datos-de-investigacion-14-2025
"Ciencia  Abierta, una  introducción",N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/ciencia-abierta-una-introduccion-09-25
Descubre  revistas  académicas  de  tu interés y  aprende  buenas  prácticas para publicar.,N/A,N/A,N/A,https://www.uc.cl/agenda/actividad/descubre-revistas-academicas-de-tu-interes-y-aprende-buenas-practicas-para-publicar-25-014
